"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB","Sardegna","","ITB","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB01_C","Sassari Collina","","ITB01_C","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB01_M","Sassari Montagna","","ITB01_M","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB01_P","Sassari Pianura","","ITB01_P","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB02_C","Nuoro Collina","","ITB02_C","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB02_M","Nuoro Montagna","","ITB02_M","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB03_C","Oristano Collina","","ITB03_C","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB03_P","Oristano Pianura","","ITB03_P","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB04_C","Cagliari Collina","","ITB04_C","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB04_P","Cagliari Pianura","","ITB04_P","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB_C","Sardegna Collina","","ITB_C","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB_M","Sardegna Montagna","","ITB_M","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITB_P","Sardegna Pianura","","ITB_P","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITC1","Piemonte","","ITC1","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITC2","Valle d'Aosta","","ITC2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITC3","Liguria","","ITC3","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITC4","Lombardia","","ITC4","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITD1","Alto Adige","","ITD1","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITD2","Trentino","","ITD2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITD3","Veneto","","ITD3","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITD4","Friuli-Venezia Giulia","","ITD4","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITD5","Emilia-Romagna","","ITD5","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITE1","Toscana","","ITE1","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITE2","Umbria","","ITE2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITE3","Marche","","ITE3","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITE4","Lazio","","ITE4","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITF1","Abruzzo","","ITF1","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITF2","Molise","","ITF2","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITF3","Campania","","ITF3","valid","2012-03-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/sgm_reg/ITF4","Puglia","","ITF4","valid","2012-03-07"
